Index,Frequency,Magnitude,Phase,Real,Imaginary
5581,32701.2,0.071262,-2.57297,-0.0600486,-0.0383724
5582,32707,0.0735873,-2.59388,-0.0628226,-0.0383198
5583,32712.9,0.0702768,-2.61887,-0.0608921,-0.0350853
5584,32718.8,0.0694343,-2.58089,-0.0588025,-0.0369241
5585,32724.6,0.0739746,-2.61468,-0.0639409,-0.0371996
5586,32730.5,0.0707072,-2.61976,-0.0612964,-0.0352456
5587,32736.3,0.0701594,-2.58271,-0.0594846,-0.0372011
5588,32742.2,0.0747225,-2.59754,-0.0639339,-0.0386771
5589,32748,0.069994,-2.62047,-0.0607032,-0.0348466
5590,32753.9,0.0696275,-2.56447,-0.0583505,-0.0379896
5591,32759.8,0.0737938,-2.60792,-0.0635324,-0.0375389
5592,32765.6,0.0695453,-2.63872,-0.0609358,-0.0335167
5593,32771.5,0.0706581,-2.56823,-0.0593585,-0.0383291
5594,32777.3,0.0744062,-2.61662,-0.0643864,-0.0372918
5595,32783.2,0.0700634,-2.62396,-0.0608846,-0.034669
5596,32789.1,0.0713142,-2.56527,-0.0597949,-0.0388624
5597,32794.9,0.0735758,-2.60273,-0.0631494,-0.0377564
5598,32800.8,0.0691831,-2.62772,-0.0602478,-0.0340074
5599,32806.6,0.071528,-2.57865,-0.0604902,-0.038173
5600,32812.5,0.0739628,-2.60638,-0.06362,-0.0377225
5601,32818.4,0.0701865,-2.62758,-0.0611171,-0.0345087
5602,32824.2,0.0712014,-2.55676,-0.0593681,-0.0393073
5603,32830.1,0.0744867,-2.61972,-0.0645716,-0.0371319
5604,32835.9,0.0687193,-2.60783,-0.0591603,-0.0349629
5605,32841.8,0.071598,-2.57128,-0.0602665,-0.0386552
5606,32847.7,0.0741943,-2.62806,-0.0646242,-0.0364488
5607,32853.5,0.068401,-2.60808,-0.058895,-0.0347862
5608,32859.4,0.072916,-2.59136,-0.0621538,-0.0381267
5609,32865.2,0.0749572,-2.63747,-0.0656323,-0.0362074
5610,32871.1,0.0715365,-2.58035,-0.0605622,-0.0380747
5611,32877,0.0716076,-2.57157,-0.0602858,-0.038643
5612,32882.8,0.0752233,-2.61948,-0.0652011,-0.0375148
5613,32888.7,0.0696869,-2.58651,-0.0592239,-0.0367259
5614,32894.5,0.0725547,-2.56871,-0.0609708,-0.0393287
5615,32900.4,0.0747434,-2.61382,-0.0645733,-0.0376413
5616,32906.2,0.0693715,-2.59659,-0.0593212,-0.0359638
5617,32912.1,0.0729606,-2.5508,-0.0605938,-0.0406405
5618,32918,0.0744035,-2.61817,-0.064442,-0.0371903
5619,32923.8,0.0680598,-2.59565,-0.0581664,-0.0353384
5620,32929.7,0.0733651,-2.56486,-0.0614983,-0.0400049
5621,32935.5,0.0747297,-2.62428,-0.0649515,-0.0369571
5622,32941.4,0.0693847,-2.59356,-0.0592233,-0.0361501
5623,32947.3,0.073113,-2.54999,-0.0606874,-0.0407743
5624,32953.1,0.0744933,-2.63262,-0.0650508,-0.0362993
5625,32959,0.0698254,-2.5809,-0.0591341,-0.0371314
5626,32964.8,0.0737581,-2.55681,-0.0615018,-0.0407159
5627,32970.7,0.0730638,-2.61265,-0.063079,-0.0368696
