Index,Frequency,Magnitude,Phase,Real,Imaginary
0,0,3.28818,3.14159,-3.28818,0
1,5.85938,6.58063,2.76114,-6.11008,2.44368
2,11.7188,4.15845,2.7033,-3.76539,1.76482
3,17.5781,9.33847,2.60109,-8.00727,4.80528
4,23.4375,16.4682,2.13478,-8.80313,13.9178
5,29.2969,33.8503,3.0649,-33.7508,2.59357
6,35.1562,31.1174,-2.43526,-23.6725,-20.1967
7,41.0156,20.0221,-1.81426,-4.82665,-19.4316
8,46.875,16.8979,-2.06905,-8.07543,-14.8434
9,52.7344,15.5016,-1.4797,1.41018,-15.4373
10,58.5938,21.3844,-1.37052,4.25422,-20.9569
11,64.4531,28.9542,0.287478,27.7659,8.20951
12,70.3125,24.6345,2.33903,-17.1177,17.7157
13,76.1719,11.9575,-3.077,-11.9326,-0.771865
14,82.0312,16.7667,-2.79564,-15.7733,-5.68545
15,87.8906,22.6221,-3.03545,-22.4948,-2.39658
16,93.75,45.3138,-2.01718,-19.5622,-40.8737
17,99.6094,30.6027,-0.868309,19.773,-23.3571
18,105.469,7.95603,-0.912403,4.86788,-6.29303
19,111.328,11.9673,-1.07986,5.64203,-10.5538
20,117.188,5.88899,-1.05182,2.9209,-5.11356
21,123.047,14.6445,-2.27188,-9.44635,-11.1906
22,128.906,39.1698,-1.12131,17.0195,-35.279
23,134.766,30.0486,0.334217,28.3859,9.85681
24,140.625,4.20489,1.10863,1.87491,3.76374
25,146.484,4.72515,0.442725,4.26959,2.02427
26,152.344,2.53609,1.91154,-0.847536,2.39028
27,158.203,8.31295,-2.35394,-5.86489,-5.89136
28,164.062,11.7598,-1.18725,4.40067,-10.9054
29,169.922,5.60607,-0.536429,4.81863,-2.86509
30,175.781,5.10236,-1.26716,1.52556,-4.86895
31,181.641,6.3246,-1.62139,-0.319832,-6.31651
32,187.5,17.9435,-1.71336,-2.54949,-17.7614
33,193.359,37.7825,-0.71576,28.5105,-24.7925
34,199.219,33.1906,0.546139,28.3626,17.2389
35,205.078,11.6677,1.35644,2.48192,11.4007
36,210.938,6.54838,1.2048,2.3435,6.11468
37,216.797,3.13657,0.794883,2.19675,2.23883
38,222.656,10.2158,1.81385,-2.45858,9.91553
39,228.516,19.1768,-2.28793,-12.6035,-14.4534
40,234.375,21.5315,-0.65036,17.1362,-13.0367
41,240.234,13.9108,0.20389,13.6226,2.81666
42,246.094,8.08116,0.440978,7.30808,3.44923
43,251.953,8.47888,0.394093,7.82894,3.25565
44,257.812,12.7551,0.296293,12.1993,3.72418
45,263.672,19.1226,1.50357,1.28461,19.0794
46,269.531,6.65358,3.07676,-6.6396,0.431053
47,275.391,2.52821,1.57794,-0.0180666,2.52815
48,281.25,1.24335,-2.6163,-1.07572,-0.623501
49,287.109,3.83102,-0.351994,3.59613,-1.32082
50,292.969,4.71336,0.714735,3.55984,3.08922
51,298.828,5.75652,0.49435,5.06733,2.73123
52,304.688,10.883,1.5794,-0.0936053,10.8826
53,310.547,4.71556,2.63161,-4.11553,2.30195
54,316.406,8.20423,2.22311,-4.98019,6.51974
55,322.266,8.63444,-3.1016,-8.62753,-0.345198
56,328.125,13.1328,-2.51178,-10.6131,-7.73514
57,333.984,13.3542,-1.20293,4.8025,-12.4608
58,339.844,5.01104,-0.384819,4.64457,-1.8811
59,345.703,5.95031,-1.1045,2.67513,-5.31506
60,351.562,12.8123,-0.0797121,12.7716,-1.02022
61,357.422,11.6527,1.49603,0.870399,11.6201
62,363.281,4.94767,3.06348,-4.93258,0.3861
63,369.141,4.21985,-2.87741,-4.07345,-1.10187
64,375,5.93092,-1.7747,-1.20098,-5.80805
65,380.859,4.89454,-1.55939,0.0558376,-4.89422
66,386.719,9.07894,-1.27065,2.68431,-8.67304
67,392.578,13.0419,-0.553969,11.0914,-6.86093
68,398.438,13.7085,0.238589,13.3202,3.23975
69,404.297,11.448,1.15493,4.62474,10.4723
70,410.156,4.30739,2.06837,-2.0559,3.78509
71,416.016,3.87199,1.27576,1.12586,3.70469
72,421.875,9.02527,2.51129,-7.29107,5.31938
73,427.734,13.621,-2.19023,-7.90805,-11.0903
74,433.594,12.4084,-0.856413,8.12939,-9.37452
75,439.453,7.2243,-0.35408,6.77615,-2.50486
76,445.312,9.18204,-0.0825234,9.15079,-0.756874
77,451.172,6.37972,0.244655,6.18974,1.54531
78,457.031,12.0462,0.562599,10.1895,6.42526
79,462.891,9.74421,1.78784,-2.09839,9.51558
80,468.75,4.23362,2.46669,-3.30547,2.64526
81,474.609,3.34016,-2.44853,-2.56956,-2.13402
82,480.469,2.17435,-1.03242,1.11488,-1.86678
83,486.328,3.56334,-1.10578,1.59794,-3.18496
84,492.188,7.26248,-0.565222,6.13294,-3.88981
85,498.047,10.1497,0.339177,9.5715,3.37693
86,503.906,6.65824,1.04298,3.35341,5.75212
87,509.766,7.49687,1.25711,2.31328,7.13104
88,515.625,5.16671,2.28702,-3.39217,3.89719
89,521.484,2.96991,2.15919,-1.64837,2.47047
90,527.344,4.06398,-2.78875,-3.81361,-1.40437
91,533.203,3.7239,-1.38499,0.687953,-3.6598
92,539.062,4.96387,-0.495576,4.36669,-2.36052
93,544.922,3.93686,0.280904,3.78255,1.09139
94,550.781,5.11699,0.264187,4.93946,1.33617
95,556.641,5.82798,1.02338,3.03336,4.97636
96,562.5,5.55379,1.70346,-0.734619,5.50499
97,568.359,2.6583,2.93841,-2.60362,0.536404
98,574.219,1.14818,2.34326,-0.801318,0.822322
99,580.078,1.65554,-1.92978,-0.581636,-1.55001
100,585.938,2.38255,-1.03869,1.20879,-2.05314
101,591.797,4.27017,-0.0898777,4.25293,-0.383276
102,597.656,3.62944,0.436408,3.28927,1.53412
103,603.516,4.81643,1.0089,2.56617,4.07588
104,609.375,2.67752,1.79068,-0.584,2.61305
105,615.234,2.51604,1.76451,-0.484352,2.46898
106,621.094,1.94769,2.80403,-1.83777,0.645049
107,626.953,2.27903,-2.46019,-1.7701,-1.43553
108,632.812,3.90192,-0.974133,2.19243,-3.22773
109,638.672,3.53656,-0.0163985,3.53608,-0.0579917
110,644.531,3.20708,0.278368,3.08363,0.881265
111,650.391,4.30994,0.602065,3.55212,2.44092
112,656.25,4.11477,1.46241,0.445116,4.09063
113,662.109,2.24915,1.80573,-0.523547,2.18737
114,667.969,2.43796,2.5431,-2.01421,1.37355
115,673.828,1.70527,-2.07244,-0.820007,-1.49517
116,679.688,1.93764,-1.00761,1.03447,-1.63839
117,685.547,2.51141,-0.218491,2.45171,-0.544365
118,691.406,3.12266,-0.0441321,3.11962,-0.137765
119,697.266,3.95232,0.706104,3.0073,2.56456
120,703.125,3.53514,1.19534,1.29633,3.28888
121,708.984,2.13101,2.15116,-1.1685,1.78208
122,714.844,1.6562,1.52605,0.0740871,1.65455
123,720.703,2.23475,-2.87816,-2.15766,-0.581922
124,726.562,2.21051,-1.05441,1.09142,-1.92228
125,732.422,2.47158,-0.539659,2.12033,-1.27001
126,738.281,3.60483,-0.0671837,3.5967,-0.242004
127,744.141,4.44674,0.488991,3.92562,2.08879
128,750,3.78049,1.10919,1.68379,3.38481
129,755.859,3.4868,1.29104,0.962783,3.35125
130,761.719,2.90511,2.04841,-1.33537,2.58001
131,767.578,2.03353,2.37199,-1.46045,1.41504
132,773.438,2.00225,-2.21661,-1.20505,-1.59903
133,779.297,1.63861,-0.170376,1.61488,-0.277831
134,785.156,0.891086,-0.730831,0.66352,-0.59479
135,791.016,3.15206,-0.121236,3.12892,-0.381206
136,796.875,3.57786,0.735079,2.65398,2.39948
137,802.734,2.87383,1.14896,1.17666,2.62191
138,808.594,3.01478,1.76904,-0.593764,2.95573
139,814.453,1.01706,2.82993,-0.968068,0.311871
140,820.312,1.09797,2.28878,-0.722317,0.826915
141,826.172,1.64028,-1.57465,-0.00631685,-1.64027
142,832.031,1.50307,-0.416053,1.37485,-0.607473
143,837.891,3.1167,-0.225865,3.03753,-0.697983
144,843.75,3.52459,0.819388,2.40613,2.57551
145,849.609,1.3265,0.478478,1.17753,0.61076
146,855.469,4.09692,0.948364,2.38856,3.3286
147,861.328,2.51355,1.97032,-0.977715,2.31561
148,867.188,1.5367,1.91103,-0.51281,1.44862
149,873.047,0.944008,-3.03439,-0.938588,-0.101005
150,878.906,1.06772,-0.462394,0.955592,-0.4763
151,884.766,1.25932,0.0305294,1.25873,0.0384402
152,890.625,2.04827,0.417457,1.87237,0.830447
153,896.484,2.05637,0.546097,1.75729,1.06799
154,902.344,3.06446,0.993912,1.6714,2.56852
155,908.203,2.70052,1.79823,-0.608914,2.63098
156,914.062,0.281277,1.75878,-0.0525642,0.276322
157,919.922,2.16902,1.54206,0.0623235,2.16813
158,925.781,1.11761,-3.02238,-1.10968,-0.132919
159,931.641,0.853948,-0.613819,0.698064,-0.491868
160,937.5,1.77631,0.120234,1.76349,0.213058
161,943.359,1.71331,0.890177,1.07814,1.33155
162,949.219,1.93889,0.511948,1.6903,0.949813
163,955.078,2.72713,1.29475,0.743284,2.62388
164,960.938,1.99607,1.66768,-0.193078,1.98671
165,966.797,1.44485,2.20951,-0.861372,1.16001
166,972.656,0.923129,2.42201,-0.694266,0.608409
167,978.516,0.462725,-1.21886,0.15951,-0.434363
